Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,Runtime exp (reg),Runtime exp (sparse),10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
Maximum Cardinality Matching Size,Y,11,,,1.36,1.36,2610,2610,13710000,13710000,215600000000,215600000000,5765000000000000,5765000000000000,208600000000000000000,208600000000000000000,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Maximum Cardinality Matching Size,Y,12,,,1,1.72,10000000000,1360,1000000000000000,836242,100000000000000000000,2185000000,10000000000000000000000000,14140000000000,1000000000000000000000000000000,164000000000000000,"(1/(1/2 + delta), 0)",1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
Maximum Cardinality Matching Size,Y,13,,,0.9,1.9,22026,290,54140000000000,47599,10000000000000000000000000000000000000000,38080000,10000000000000000000000000000000000000000,94210000000,10000000000000000000000000000000000000000,505300000000000,"(1/(1/2 + delta), eps n)",1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
Maximum Cardinality Matching Size,Y,14,,,1.99,1.99,164,164,15179,15179,6825000,6825000,10240000000,10240000000,36350000000000,36350000000000,"(1/(1/2 + delta), eps n)",1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
Maximum Clique,Y,1,,,big,big,126,126,189,189,253,253,316,316,379,379,1,1,1,1,1,1,1,1,1,1,1,1
Maximum Clique,Y,2,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,~n/2,7.995,5000000000,50000,500000000000000,15810000,50000000000000000000,5000000000,5000000000000000000000000,1581000000000,500000000000000000000000000000,500000000000000
Maximum Clique,Y,3,,,1.5,2.5,4641000,10000,10000000000,1000000,21540000000000,100000000,46410000000000000,10000000000,100000000000000000000,1000000000000,~n/2,7.995,2320500,5000,5000000000,500000,10770000000000,50000000,23205000000000000,5000000000,50000000000000000000,500000000000
Maximum Clique,Y,4,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,O(n/(log^2 n)),7.97,754,37,106026,754,18861170,19696,3816920479,585041,838274208941,18861170
Maximum Clique,Y,5,,,big,big,1,1,1,1,1,1,1,1,1,1,~n/5,7.992,1,1,1,1,1,1,1,1,1,1
Maximum Clique,Y,6,,,big,big,8,8,11,11,15,15,17,17,20,20,~n/4,7.9925,2.00,2.00,2.75,2.75,3.75,3.75,4.25,4.25,5.00,5.00
Maximum Clique,Y,7,,,10,10,10,10,31,31,100,100,316,316,1000,1000,~n/6,7.9917,1.67,1.67,5.17,5.17,16.67,16.67,52.67,52.67,166.67,166.67
Maximum Clique,Y,8,,,5,6,100,46,1000,316,10000,2154,100000,14678,1000000,100000,O(n/log log n),7.99,65,34,517,181,4504,1057,40925,6491,380837,40925
Maximum Clique,Y,9,,,1.5,2.5,4641000,10000,10000000000,1000000,21540000000000,100000000,46410000000000000,10000000000,100000000000000000000,1000000000000,~2n/5,7.994,1856400,4000,4000000000,400000,8616000000000,40000000,18564000000000000,4000000000,40000000000000000000,400000000000
Maximum Clique,Y,10,,,3.5,5.614,719,60,19307,469,517947,3651,13890000,28389,372700000,220690,O((n log log n)/log n),7.985,206,21,4479,139,101443,937,2364837,6444,56320753,45018
Maximum Clique,Y,11,,,8.39,9.39,11,8,53,34,224,123,914,436,3674,1518,O(n(log log n)^2/log^3 n),7.9675,1.000,0.477,1.610,1.231,4.030,2.725,10.627,6.325,29.435,15.314
Geometric TSP,N,1,,,big,,12,,16,,20,,23,,27,,1,1,1,,1,,1,,1,,1,
Geometric TSP,N,2,,,big,,24,,39,,54,,70,,86,,1,1,1,,1,,1,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geometric TSP,N,4,,,1,,10000000000,,1000000000000000,,100000000000000000000,,10000000000000000000000000,,1000000000000000000000000000000,,n/2,7.995,5000000000,,500000000000000,,50000000000000000000,,5000000000000000000000000,,500000000000000000000000000000,
Geometric TSP,N,5,,,3,,2154,,100000,,4641000,,215400000,,10000000000,,1.5,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
Geometric TSP,N,6,,,2.635,,2879,,221748,,18440000,,1600000000,,142600000000,,1.5,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
Geometric TSP,N,7,,,9875,,1,,1,,1,,1,,1,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
Geometric TSP,N,8,,,73.09,,1,,1,,1,,1,,1,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
Geometric TSP,N,9,,,1.09,,1,,1,,1,,1,,1,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
Geometric TSP,N,10,,,1.09,,1,,1,,1,,1,,1,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
Geometric TSP,N,11,,,118.13,,1,,1,,1,,1,,1,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
Vertex Cover,Y,1,,,big,big,95,95,142,142,190,190,237,237,285,285,1,1,1,1,1,1,1,1,1,1,1,1
Vertex Cover,Y,2,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,2,2,2,2,2,2,2,2,2,2,2,2
Vertex Cover,Y,3,,,3.09,3.09,1124,1124,45349,45349,1905000,1905000,818700000,818700000,3569000000,3569000000,2-2/Delta,1.999,1.998,1.998,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Vertex Cover,Y,4,,,1.5,2.5,4641000,10000,10000000000,1000000,21540000000000,100000000,46410000000000000,10000000000,100000000000000000000,1000000000000,2-2/sqrt(n),1.998,1.999,1.980,2.000,1.998,2.000,2.000,2.000,2.000,2.000,2.000
Vertex Cover,Y,5,,,2.09,3,31091,2154,7933000,100000,2157000000,4641000,607000000000,215400000,174600000000000,10000000000,2-2/sqrt(n),1.998,1.989,1.957,1.999,1.994,2.000,1.999,2.000,2.000,2.000,2.000
Vertex Cover,Y,6,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,2-(log log n)/log n,1.996,1.788,1.734,1.835,1.788,1.864,1.822,1.883,1.846,1.897,1.864
Vertex Cover,Y,7,,,2.09,3,31091,2154,7933000,100000,2157000000,4641000,607000000000,215400000,174600000000000,10000000000,2-(log log n)/log n,1.996,1.774,1.734,1.826,1.788,1.857,1.822,1.878,1.846,1.894,1.864
Vertex Cover,Y,8,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,2-O(log log n)/log n,1.996,1.788,1.734,1.835,1.788,1.864,1.822,1.883,1.846,1.897,1.864
Vertex Cover,Y,9,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,2/(1+eps),1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
Vertex Cover,Y,10,,,3.5,5.614,719,60,19307,469,517947,3651,13890000,28389,372700000,220690,2-(2-o(1))(log log Delta)/log Delta,1.9955,1.427,1.311,1.536,1.409,1.608,1.487,1.659,1.546,1.698,1.592
Vertex Cover,Y,11,,,10.5,10.5,8,8,26,26,80,80,240,240,719,719,2-Theta(1/sqrt(log n)),1.993,1.307,1.307,1.446,1.446,1.522,1.522,1.573,1.573,1.610,1.610
Vertex Cover Size,Y,1,,,big,big,95,95,142,142,190,190,237,237,285,285,1,1,1,1,1,1,1,1,1,1,1,1
Vertex Cover Size,Y,2,,,0.333,big,134100000000,25,393400000000000000000000000000,68,10000000000000000000000000000000000000000,152,10000000000000000000000000000000000000000,305,10000000000000000000000000000000000000000,570,"(2 ln(ln n) + 1, eps n)",4.01,7.517,7.468,9.473,9.469,10.076,11.078,10.076,12.471,10.076,13.721
Vertex Cover Size,Y,3,,,4,big,58,4,431,6,4558,8,73525,11,1921000,14,"(64, eps n)",2.97,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03
Vertex Cover Size,Y,4,,,5.5,big,6,1,12,1,25,1,57,2,144,2,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Vertex Cover Size,Y,5,,,2.27,big,614,8,82961,15,14890000,23,3095000000,30,701900000000,38,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Vertex Cover Size,Y,6,,,0.36,4,10000000000000000000000000000000000000000,100,10000000000000000000000000000000000000000,1778,10000000000000000000000000000000000000000,31622,10000000000000000000000000000000000000000,562341,10000000000000000000000000000000000000000,10000000,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Vertex Cover Size,Y,7,,,0,4,10000000000000000000000000000000000000000,31,10000000000000000000000000000000000000000,562,10000000000000000000000000000000000000000,10000,10000000000000000000000000000000000000000,177827,10000000000000000000000000000000000000000,3162000,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Vertex Cover Size,Y,8,,,1,1.36,9361000000,12589,999900000000000,89060000,99990000000000000000,1603000000000,9999000000000000000000000,46130000000000000,999900000000000000000000000000,1747000000000000000000,2 + eps,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001
Vertex Cover Size,Y,9,,,0.36,1.36,10000000000000000000000000000000000000000,12589,10000000000000000000000000000000000000000,89060000,10000000000000000000000000000000000000000,1603000000000,10000000000000000000000000000000000000000,46130000000000000,10000000000000000000000000000000000000000,1747000000000000000000,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Vertex Cover Size,Y,10,,,1.36,1.36,2610,2610,13710000,13710000,215600000000,215600000000,5765000000000000,5765000000000000,208600000000000000000,208600000000000000000,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Longest Path Problem,Y,1,,,big,big,12,12,16,16,20,20,23,23,27,27,1,1,1,1,1,1,1,1,1,1,1,1
Longest Path Problem,Y,2,,,big,big,1,1,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
Longest Path Problem,Y,3,,,big,big,10,9,17,15,23,21,29,28,36,34,1,1,1,1,1,1,1,1,1,1,1,1
Longest Path Problem,Y,4,,,3,4,2154,316,100000,5623,4641000,100000,215400000,1778000,10000000000,31620000,(n log log n)/log n,7.985,572,96,21224,1404,825725,21224,33164105,329457,1362215689,5216377
Longest Path Problem,Y,5,,,2,2,100000,100000,31620000,31620000,10000000000,10000000000,3162000000000,3162000000000,1000000000000000,1000000000000000,(n log log n)/log n,7.985,21224,21224,5216377,5216377,1362215689,1362215689,369101228387,369101228387,102553796517010,102553796517010
Longest Path Problem,Y,6,,,3.533,4.533,473,125,11874,1519,308589,18973,8178000,240532,219400000,3078000,n/log n,7.98,77,26,1266,207,24414,1926,513792,19412,11423271,206027
Longest Path Problem,Y,7,,,22.078,23.078,2,2,4,4,6,6,9,9,15,14,n/log n,7.98,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Longest Path Problem,Y,8,,,5,5,100,100,1000,1000,10000,10000,100000,100000,1000000,1000000,3n log^2(log n)/log^2 n,7.9775,33,33,235,235,1743,1743,13513,13513,108370,108370
Longest Path Problem,Y,9,,,11.951,11.951,6,6,15,15,40,40,102,102,264,264,(4n log log n)/log^2 n,7.975,4.360,4.360,8.151,8.151,15.348,15.348,29.211,29.211,58.367,58.367
Longest Path Problem,Y,10,,,83.793,83.793,1,1,1,1,1,1,2,2,2,2,(4n log log n)/log^2 n,7.975,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Longest Path Problem,Y,11,,,7.03,8.03,24,16,128,70,658,293,3383,1230,17401,5158,O(n/e^sqrt(log n/24 log log n)),7.93,17.110,11.427,89.501,49.337,449.875,202.562,2263.131,833.870,11404.266,3431.938
Longest Path Problem,Y,12,,,5.25,7.5,80,21,719,100,6449,464,57797,2154,517947,10000,O(n/e^sqrt(0.2 log n)),7.9,31.370,9.623,228.350,38.301,1714.997,153.200,13145.501,623.984,102276.010,2573.732
The Set-Covering Problem,N,1,,,big,,28,,44,,60,,76,,93,,1,1,1,,1,,1,,1,,1,
The Set-Covering Problem,N,2,,,1,,10000000000,,1000000000000000,,100000000000000000000,,10000000000000000000000000,,1000000000000000000000000000000,,1+ln(d),5.0007,24.026,,35.539,,47.052,,58.565,,70.078,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Set-Covering Problem,N,4,,,1.5,,4641000,,10000000000,,21540000000000,,46410000000000000,,100000000000000000000,,H_d-1/6,5.0005,15.761,,23.436,,31.111,,38.787,,46.462,
The Set-Covering Problem,N,5,,,1.5,,4641000,,10000000000,,21540000000000,,46410000000000000,,100000000000000000000,,H_d-11/42,5.0004,15.666,,23.341,,31.016,,38.691,,46.367,
The Set-Covering Problem,N,6,,,7.5,,21,,100,,464,,2154,,10000,,H_d-1/2,5.0003,3.122,,4.682,,6.217,,7.752,,9.287,
The Set-Covering Problem,N,7,,,10.5,,8,,26,,80,,240,,719,,H_d-98/195,5.0002,2.154,,3.333,,4.456,,5.555,,6.652,
The Set-Covering Problem,N,8,,,12,,6,,17,,46,,121,,316,,H_d-0.5277,5.0001,1.841,,2.883,,3.878,,4.845,,5.805,
The Set-Covering Problem,N,9,,,22.5,,2,,4,,7,,12,,21,,H_d-0.5902,4.9999,0.680,,1.373,,1.933,,2.472,,3.031,
"Maximum Cut, Undirected",Y,1,,,big,big,21,12,36,23,52,37,69,52,85,67,1,1,1,1,1,1,1,1,1,1,1,1
"Maximum Cut, Undirected",Y,2,,,big,big,28,24,44,39,60,54,76,70,93,86,1,1,1,1,1,1,1,1,1,1,1,1
"Maximum Cut, Undirected",Y,3,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,0.5,2,2,2,2,2,2,2,2,2,2,2
"Maximum Cut, Undirected",Y,4,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,0.5 + 2/m,1.999,1.9999,1.9963,2.0000,1.9999,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
"Maximum Cut, Undirected",Y,5,,,3,3,2154,2154,100000,100000,4641000,4641000,215400000,215400000,10000000000,10000000000,0.5 + (n-1)/(4m),1.999,1.9995,1.9995,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
"Maximum Cut, Undirected",Y,6,,,1.09,2.09,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,0.5 + 1/(2n),1.999,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
"Maximum Cut, Undirected",Y,7,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,0.5 + 1/(2n),1.999,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
"Maximum Cut, Undirected",Y,8,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,0.5 + 1/(2*Delta),1.999,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
"Maximum Cut, Undirected",Y,9,,,3.5,3.5,719,719,19307,19307,517947,517947,13890000,13890000,372700000,372700000,0.878,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139
"Maximum Cut, Directed",Y,1,,,big,big,28,24,44,39,60,54,76,70,93,86,1,1,1,1,1,1,1,1,1,1,1,1
"Maximum Cut, Directed",Y,2,,,3.5,3.5,719,719,19307,19307,517947,517947,13890000,13890000,372700000,372700000,0.79607,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257
"Maximum Cut, Directed",Y,3,,,7,7,26,26,138,138,719,719,3727,3727,19307,19307,0.859387,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637
"Maximum Cut, Directed",Y,4,,,7,7,26,26,138,138,719,719,3727,3727,19307,19307,0.859643,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633
"Maximum Cut, Directed",Y,5,,,7,7,26,26,138,138,719,719,3727,3727,19307,19307,0.863,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158
"Maximum Cut, Directed",Y,6,,,7,7,26,26,138,138,719,719,3727,3727,19307,19307,0.87401,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145
"Maximum Cut, Directed",Y,7,,,7,7,26,26,138,138,719,719,3727,3727,19307,19307,0.87446,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144
Maximum Bisection,Y,1,,,big,big,28,24,44,39,60,54,76,70,93,86,1,1,1,1,1,1,1,1,1,1,1,1
Maximum Bisection,Y,2,,,1,1,10000000000,10000000000,1000000000000000,1000000000000000,100000000000000000000,100000000000000000000,10000000000000000000000000,10000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,0.5,2,2,2,2,2,2,2,2,2,2,2
Maximum Bisection,Y,3,,,3.5,3.5,719,719,19307,19307,517947,517947,13890000,13890000,372700000,372700000,0.651,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537
Maximum Bisection,Y,4,,,3.5,3.5,719,719,19307,19307,517947,517947,13890000,13890000,372700000,372700000,0.699,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431
Maximum Bisection,Y,5,,,10.5,10.5,8,8,26,26,80,80,240,240,719,719,0.7016,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254
Maximum Bisection,Y,6,,,3.5,3.5,719,719,19307,19307,517947,517947,13890000,13890000,372700000,372700000,0.7017,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252
Maximum Bisection,Y,7,,,10.5,10.5,8,8,26,26,80,80,240,240,719,719,0.7028,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423
Maximum Bisection,Y,8,,,10^100,10^100,1,1,1,1,1,1,1,1,1,1,0.85,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177
Maximum Bisection,Y,9,,,10^100,10^100,1,1,1,1,1,1,1,1,1,1,0.8776,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
Independent Set,Y,1,,,big,big,126,126,189,189,253,253,316,316,379,379,1,1,1,1,1,1,1,1,1,1,1,1
Independent Set,Y,2,,,1,2,10000000000,100000,1000000000000000,31620000,100000000000000000000,10000000000,10000000000000000000000000,3162000000000,1000000000000000000000000000000,1000000000000000,~d/2,7.995,5000000000,50000,500000000000000,15810000,50000000000000000000,5000000000,5000000000000000000000000,1581000000000,500000000000000000000000000000,500000000000000
Independent Set,Y,3,,,1.5,2.5,4641000,10000,10000000000,1000000,21540000000000,100000000,46410000000000000,10000000000,100000000000000000000,1000000000000,~d/2,7.995,2320500,5000,5000000000,500000,10770000000000,50000000,23205000000000000,5000000000,50000000000000000000,500000000000
Independent Set,Y,4,,,2,3,100000,2154,31620000,100000,10000000000,4641000,3162000000000,215400000,1000000000000000,10000000000,O(n/(log^2 n)),7.97,754,37,106026,754,18861170,19696,3816920479,585041,838274208941,18861170
Independent Set,Y,5,,,big,big,1,1,1,1,1,1,1,1,1,1,~Delta/5,7.992,1,1,1,1,1,1,1,1,1,1
Independent Set,Y,6,,,big,big,8,8,11,11,15,15,17,17,20,20,~Delta/4,7.9925,2.000,2.000,2.750,2.750,3.750,3.750,4.250,4.250,5.000,5.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent Set,Y,8,,,10,10,10,10,31,31,100,100,316,316,1000,1000,~Delta/6,7.9917,1.667,1.667,5.167,5.167,16.667,16.667,52.667,52.667,166.667,166.667
Independent Set,Y,9,,,5,6,100,46,1000,316,10000,2154,100000,14678,1000000,100000,O(Delta/log log Delta),7.99,65,34,517,181,4504,1057,40925,6491,380837,40925
Independent Set,Y,10,,,1.5,2.5,4641000,10000,10000000000,1000000,21540000000000,100000000,46410000000000000,10000000000,100000000000000000000,1000000000000,~2d/5,7.994,1856400,4000,4000000000,400000,8616000000000,40000000,18564000000000000,4000000000,40000000000000000000,400000000000
