Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,Runtime exp (reg),Runtime exp (sparse),10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
Independent Set,Y,11,,,0.001,10.18,10000000000,8,1000000000000000,25,100000000000000000000,74,10000000000000000000000000,225,1000000000000000000000000000000,687,~d/2,7.995,5000000000,4.00,500000000000000,12.50,50000000000000000000,37.00,5000000000000000000000000,112.50,500000000000000000000000000000,343.50
Independent Set,Y,12,,,3.5,5.614,719,60,19307,469,517947,3651,13890000,28389,372700000,220690,O((Delta log log Delta)/log Delta),7.985,206,20.657,4479,139,101443,937,2364837,6444,56320753,45018
Independent Set,Y,13,,,8.39,9.39,11,8,53,34,224,123,914,436,3674,1518,O(n(log log n)^2/log^3 n),7.9675,1.000,1.000,1.610,1.231,4.030,2.725,10.627,6.325,29.435,15.314
Max-2SAT,N,1,,,big,,24,,39,,54,,70,,86,,1,1,1,,1,,1,,1,,1,
Max-2SAT,N,2,,,big,,25,,41,,58,,75,,92,,1,1,1,,1,,1,,1,,1,
Max-2SAT,N,3,,,2,,100000,,31620000,,10000000000,,3162000000000,,1000000000000000,,0.5,2,2,,2,,2,,2,,2,
Max-2SAT,N,4,,,3,,2154,,100000,,4641000,,215400000,,10000000000,,0.5,2,2,,2,,2,,2,,2,
Max-2SAT,N,5,,,3,,2154,,100000,,4641000,,215400000,,10000000000,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
Max-2SAT,N,6,,,10.884,,7,,19,,51,,144,,404,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
Max-2SAT,N,7,,,3.5,,719,,19307,,517947,,13890000,,372700000,,0.878,1.139,1.139,,1.139,,1.139,,1.139,,1.139,
Max-2SAT,N,8,,,7,,26,,138,,719,,3727,,19307,,0.93109,1.07401,1.07401,,1.07401,,1.07401,,1.07401,,1.07401,
Max-2SAT,N,9,,,7,,26,,138,,719,,3727,,19307,,0.931090068,1.074,1.074,,1.074,,1.074,,1.074,,1.074,
Max-2SAT,N,10,,,7,,26,,138,,719,,3727,,19307,,0.935,1.07,1.07,,1.07,,1.07,,1.07,,1.07,
Max-2SAT,N,11,,,7,,26,,138,,719,,3727,,19307,,0.94,1.064,1.064,,1.064,,1.064,,1.064,,1.064,
Max-3SAT,N,1,,,big,,28,,44,,60,,76,,93,,1,1,1,,1,,1,,1,,1,
Max-3SAT,N,2,,,1,,10000000000,,1000000000000000,,100000000000000000000,,10000000000000000000000000,,1000000000000000000000000000000,,0.5,2,2,,2,,2,,2,,2,
Max-3SAT,N,3,,,3.5,,719,,19307,,517947,,13890000,,372700000,,0.7584,1.319,1.319,,1.319,,1.319,,1.319,,1.319,
Max-3SAT,N,4,,,7.704,,17,,76,,335,,1479,,6548,,0.8,1.25,1.25,,1.25,,1.25,,1.25,,1.25,
Max-3SAT,N,5,,,7,,26,,138,,719,,3727,,19307,,0.801,1.249,1.249,,1.249,,1.249,,1.249,,1.249,
Max-3SAT,N,6,,,3.5,,719,,19307,,517947,,13890000,,372700000,,0.875,1.143,1.143,,1.143,,1.143,,1.143,,1.143,
Max-SAT,N,1,,,big,,28,,44,,60,,76,,93,,1,1,1,,1,,1,,1,,1,
Max-SAT,N,2,,,1,,10000000000,,1000000000000000,,100000000000000000000,,10000000000000000000000000,,1000000000000000000000000000000,,0.5,2,2,,2,,2,,2,,2,
Max-SAT,N,3,,,4,,316,,5623,,100000,,1778000,,31620000,,0.6666666666,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
Max-SAT,N,5,,,6.077,,28,,164,,1022,,6568,,43147,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
Max-SAT,N,6,,,3.5,,719,,19307,,517947,,13890000,,372700000,,0.7584,1.319,1.319,,1.319,,1.319,,1.319,,1.319,
Max-SAT,N,7,,,3.5,,719,,19307,,517947,,13890000,,372700000,,0.76544,1.307,1.307,,1.307,,1.307,,1.307,,1.307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max-SAT,N,9,,,8.921,,13,,48,,174,,634,,2305,,0.7846,1.275,1.275,,1.275,,1.275,,1.275,,1.275,
Max-SAT,N,10,,,8.921,,13,,48,,174,,634,,2305,,0.7877,1.27,1.27,,1.27,,1.27,,1.27,,1.27,
Max-SAT,N,11,,,8.921,,13,,48,,174,,634,,2305,,0.7968,1.256,1.256,,1.256,,1.256,,1.256,,1.256,
Graph Coloring,Y,3.01,,,big,big,29,29,43,43,58,58,72,72,87,87,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
Graph Coloring,Y,3.02,,,big,big,29,29,44,44,59,59,74,74,88,88,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Graph Coloring,Y,3.03,,,big,big,30,30,45,45,60,60,75,75,90,90,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
Graph Coloring,Y,3.04,,,big,big,30,30,46,46,61,61,77,77,92,92,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Graph Coloring,Y,3.05,,,big,big,31,31,47,47,62,62,78,78,94,94,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Graph Coloring,Y,3.06,,,big,big,32,32,48,48,64,64,80,80,96,96,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Graph Coloring,Y,3.07,,,big,big,32,32,49,49,65,65,81,81,98,98,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
Graph Coloring,Y,3.08,,,big,big,33,33,50,50,66,66,83,83,100,100,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
Graph Coloring,Y,3.09,,,big,big,34,34,51,51,68,68,85,85,102,102,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
Graph Coloring,Y,3.1,,,big,big,34,34,52,52,69,69,86,86,104,104,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Graph Coloring,Y,3.11,,,big,big,35,35,53,53,70,70,88,88,106,106,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
Graph Coloring,Y,3.12,,,big,big,36,36,54,54,72,72,90,90,108,108,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
Graph Coloring,Y,3.13,,,big,big,36,36,55,55,73,73,92,92,110,110,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
Graph Coloring,Y,3.14,,,big,big,37,37,56,56,75,75,94,94,112,112,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
Graph Coloring,Y,3.15,,,big,big,38,38,57,57,76,76,96,96,115,115,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Graph Coloring,Y,3.16,,,big,big,39,39,58,58,78,78,97,97,117,117,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
Graph Coloring,Y,3.17,,,big,big,39,39,59,59,79,79,99,99,119,119,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
Graph Coloring,Y,3.18,,,big,big,40,40,61,61,81,81,101,101,122,122,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
Graph Coloring,Y,3.19,,,big,big,41,41,62,62,83,83,104,104,124,124,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Graph Coloring,Y,3.2,,,big,big,42,42,63,63,84,84,106,106,127,127,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Graph Coloring,Y,3.21,,,big,big,43,43,64,64,86,86,108,108,129,129,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
Graph Coloring,Y,3.22,,,big,big,44,44,66,66,88,88,110,110,132,132,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Graph Coloring,Y,3.23,,,big,big,45,45,67,67,90,90,112,112,135,135,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
Graph Coloring,Y,3.24,,,big,big,45,45,68,68,91,91,114,114,137,137,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
Graph Coloring,Y,3.25,,,big,big,46,46,70,70,93,93,117,117,140,140,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Graph Coloring,Y,3.26,,,big,big,47,47,71,71,95,95,119,119,143,143,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
Graph Coloring,Y,3.27,,,big,big,48,48,73,73,97,97,122,122,146,146,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
Graph Coloring,Y,3.28,,,big,big,49,49,74,74,99,99,124,124,149,149,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
Graph Coloring,Y,3.29,,,big,big,50,50,76,76,101,101,127,127,152,152,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
Graph Coloring,Y,3.3,,,big,big,51,51,77,77,103,103,129,129,155,155,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Graph Coloring,Y,3.31,,,big,big,52,52,79,79,105,105,132,132,158,158,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
Graph Coloring,Y,3.32,,,big,big,53,53,80,80,107,107,134,134,161,161,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
Graph Coloring,Y,3.33,,,big,big,55,55,82,82,110,110,137,137,165,165,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66
Graph Coloring,Y,3.34,,,big,big,56,56,84,84,112,112,140,140,168,168,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
Graph Coloring,Y,3.35,,,big,big,57,57,85,85,114,114,143,143,171,171,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Graph Coloring,Y,3.36,,,big,big,58,58,87,87,116,116,146,146,175,175,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
Graph Coloring,Y,3.37,,,big,big,59,59,89,89,119,119,149,149,178,178,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
Graph Coloring,Y,3.38,,,big,big,60,60,91,91,121,121,152,152,182,182,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
Graph Coloring,Y,3.39,,,big,big,62,62,93,93,124,124,155,155,186,186,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
Graph Coloring,Y,3.4,,,big,big,63,63,94,94,126,126,158,158,189,189,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Graph Coloring,Y,3.41,,,big,big,64,64,96,96,129,129,161,161,193,193,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
Graph Coloring,Y,3.42,,,big,big,65,65,98,98,131,131,164,164,197,197,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
Graph Coloring,Y,3.43,,,big,big,67,67,100,100,134,134,168,168,201,201,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
Graph Coloring,Y,3.44,,,big,big,68,68,102,102,137,137,171,171,205,205,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
Graph Coloring,Y,3.45,,,big,big,69,69,104,104,139,139,174,174,209,209,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
Graph Coloring,Y,3.46,,,big,big,71,71,107,107,142,142,178,178,214,214,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Graph Coloring,Y,3.47,,,big,big,72,72,109,109,145,145,182,182,218,218,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
Graph Coloring,Y,3.48,,,big,big,74,74,111,111,148,148,185,185,222,222,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96
Graph Coloring,Y,3.49,,,big,big,75,75,113,113,151,151,189,189,227,227,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
Graph Coloring,Y,3.5,,,big,big,77,77,116,116,154,154,193,193,232,232,2,2,2,2,2,2,2,2,2,2,2,2
Graph Coloring,Y,3.51,,,big,big,78,78,118,118,157,157,197,197,236,236,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
Graph Coloring,Y,3.52,,,big,big,80,80,120,120,161,161,201,201,241,241,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
Graph Coloring,Y,3.53,,,big,big,82,82,123,123,164,164,205,205,246,246,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
Graph Coloring,Y,3.54,,,big,big,83,83,125,125,167,167,209,209,251,251,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
Graph Coloring,Y,3.55,,,big,big,85,85,128,128,170,170,213,213,256,256,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Graph Coloring,Y,3.56,,,big,big,87,87,130,130,174,174,218,218,261,261,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
Graph Coloring,Y,3.57,,,big,big,88,88,133,133,177,177,222,222,266,266,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Graph Coloring,Y,3.58,,,big,big,90,90,136,136,181,181,226,226,272,272,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Graph Coloring,Y,3.59,,,big,big,92,92,138,138,185,185,231,231,277,277,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
Graph Coloring,Y,3.6,,,big,big,94,94,141,141,188,188,236,236,283,283,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Graph Coloring,Y,3.61,,,big,big,96,96,144,144,192,192,240,240,289,289,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
Graph Coloring,Y,3.62,,,big,big,98,98,147,147,196,196,245,245,294,294,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
Graph Coloring,Y,3.63,,,big,big,100,100,150,150,200,200,250,250,300,300,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26
Graph Coloring,Y,3.64,,,big,big,102,102,153,153,204,204,255,255,307,307,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
Graph Coloring,Y,3.65,,,big,big,104,104,156,156,208,208,261,261,313,313,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Graph Coloring,Y,3.66,,,big,big,106,106,159,159,213,213,266,266,319,319,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
Graph Coloring,Y,3.67,,,big,big,108,108,163,163,217,217,271,271,326,326,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
Graph Coloring,Y,3.68,,,big,big,110,110,166,166,221,221,277,277,332,332,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36
Graph Coloring,Y,3.69,,,big,big,113,113,169,169,226,226,282,282,339,339,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38
