,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
92,"Maximum Cut, Undirected",Y,1.0,,,21.0,12.0,36.0,23.0,52.0,37.0,69.0,52.0,85.0,67.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,"Maximum Cut, Undirected",Y,2.0,,,28.0,24.0,44.0,39.0,60.0,54.0,76.0,70.0,93.0,86.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,"Maximum Cut, Undirected",Y,3.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,0.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
95,"Maximum Cut, Undirected",Y,4.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,0.5 + 2/m,1.999,1.9999,1.9963,2.0,1.9999,2.0,2.0,2.0,2.0,2.0,2.0
96,"Maximum Cut, Undirected",Y,5.0,,,2154.0,2154.0,100000.0,100000.0,4641000.0,4641000.0,215400000.0,215400000.0,10000000000.0,10000000000.0,0.5 + (n-1)/(4m),1.999,1.9995,1.9995,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
97,"Maximum Cut, Undirected",Y,6.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,0.5 + 1/(2n),1.999,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
98,"Maximum Cut, Undirected",Y,7.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,0.5 + 1/(2n),1.999,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
99,"Maximum Cut, Undirected",Y,8.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,0.5 + 1/(2*Delta),1.999,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
100,"Maximum Cut, Undirected",Y,9.0,,,719.0,719.0,19307.0,19307.0,517947.0,517947.0,13890000.0,13890000.0,372700000.0,372700000.0,0.878,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139
101,"Maximum Cut, Directed",Y,1.0,,,28.0,24.0,44.0,39.0,60.0,54.0,76.0,70.0,93.0,86.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,"Maximum Cut, Directed",Y,2.0,,,719.0,719.0,19307.0,19307.0,517947.0,517947.0,13890000.0,13890000.0,372700000.0,372700000.0,0.79607,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257
103,"Maximum Cut, Directed",Y,3.0,,,26.0,26.0,138.0,138.0,719.0,719.0,3727.0,3727.0,19307.0,19307.0,0.859387,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637,1.1637
104,"Maximum Cut, Directed",Y,4.0,,,26.0,26.0,138.0,138.0,719.0,719.0,3727.0,3727.0,19307.0,19307.0,0.859643,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633
105,"Maximum Cut, Directed",Y,5.0,,,26.0,26.0,138.0,138.0,719.0,719.0,3727.0,3727.0,19307.0,19307.0,0.863,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158
106,"Maximum Cut, Directed",Y,6.0,,,26.0,26.0,138.0,138.0,719.0,719.0,3727.0,3727.0,19307.0,19307.0,0.87401,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145
107,"Maximum Cut, Directed",Y,7.0,,,26.0,26.0,138.0,138.0,719.0,719.0,3727.0,3727.0,19307.0,19307.0,0.87446,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144
108,Maximum Bisection,Y,1.0,,,28.0,24.0,44.0,39.0,60.0,54.0,76.0,70.0,93.0,86.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Maximum Bisection,Y,2.0,,,10000000000.0,10000000000.0,1000000000000000.0,1000000000000000.0,1e+20,1e+20,1e+25,1e+25,1e+30,1e+30,0.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
110,Maximum Bisection,Y,3.0,,,719.0,719.0,19307.0,19307.0,517947.0,517947.0,13890000.0,13890000.0,372700000.0,372700000.0,0.651,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537
111,Maximum Bisection,Y,4.0,,,719.0,719.0,19307.0,19307.0,517947.0,517947.0,13890000.0,13890000.0,372700000.0,372700000.0,0.699,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431,1.431
112,Maximum Bisection,Y,5.0,,,8.0,8.0,26.0,26.0,80.0,80.0,240.0,240.0,719.0,719.0,0.7016,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254,1.4254
113,Maximum Bisection,Y,6.0,,,719.0,719.0,19307.0,19307.0,517947.0,517947.0,13890000.0,13890000.0,372700000.0,372700000.0,0.7017,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252,1.4252
114,Maximum Bisection,Y,7.0,,,8.0,8.0,26.0,26.0,80.0,80.0,240.0,240.0,719.0,719.0,0.7028,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423,1.423
115,Maximum Bisection,Y,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177
116,Maximum Bisection,Y,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8776,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
117,Independent Set,Y,1.0,,,126.0,126.0,189.0,189.0,253.0,253.0,316.0,316.0,379.0,379.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,Independent Set,Y,2.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,~d/2,7.995,5000000000.0,50000.0,500000000000000.0,15810000.0,5e+19,5000000000.0,5e+24,1581000000000.0,5e+29,500000000000000.0
119,Independent Set,Y,3.0,,,4641000.0,10000.0,10000000000.0,1000000.0,21540000000000.0,100000000.0,4.641e+16,10000000000.0,1e+20,1000000000000.0,~d/2,7.995,2320500.0,5000.0,5000000000.0,500000.0,10770000000000.0,50000000.0,2.3205e+16,5000000000.0,5e+19,500000000000.0
120,Independent Set,Y,4.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,O(n/(log^2 n)),7.97,754.0,37.0,106026.0,754.0,18861170.0,19696.0,3816920479.0,585041.0,838274208941.0,18861170.0
121,Independent Set,Y,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,~Delta/5,7.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,Independent Set,Y,6.0,,,8.0,8.0,11.0,11.0,15.0,15.0,17.0,17.0,20.0,20.0,~Delta/4,7.9925,2.0,2.0,2.75,2.75,3.75,3.75,4.25,4.25,5.0,5.0
124,Independent Set,Y,8.0,,,10.0,10.0,31.0,31.0,100.0,100.0,316.0,316.0,1000.0,1000.0,~Delta/6,7.9917,1.667,1.667,5.167,5.167,16.667,16.667,52.667,52.667,166.667,166.667
125,Independent Set,Y,9.0,,,100.0,46.0,1000.0,316.0,10000.0,2154.0,100000.0,14678.0,1000000.0,100000.0,O(Delta/log log Delta),7.99,65.0,34.0,517.0,181.0,4504.0,1057.0,40925.0,6491.0,380837.0,40925.0
126,Independent Set,Y,10.0,,,4641000.0,10000.0,10000000000.0,1000000.0,21540000000000.0,100000000.0,4.641e+16,10000000000.0,1e+20,1000000000000.0,~2d/5,7.994,1856400.0,4000.0,4000000000.0,400000.0,8616000000000.0,40000000.0,1.8564e+16,4000000000.0,4e+19,400000000000.0
127,Independent Set,Y,11.0,,,10000000000.0,8.0,1000000000000000.0,25.0,1e+20,74.0,1e+25,225.0,1e+30,687.0,~d/2,7.995,5000000000.0,4.0,500000000000000.0,12.5,5e+19,37.0,5e+24,112.5,5e+29,343.5
128,Independent Set,Y,12.0,,,719.0,60.0,19307.0,469.0,517947.0,3651.0,13890000.0,28389.0,372700000.0,220690.0,O((Delta log log Delta)/log Delta),7.985,206.0,20.657,4479.0,139.0,101443.0,937.0,2364837.0,6444.0,56320753.0,45018.0
129,Independent Set,Y,13.0,,,11.0,8.0,53.0,34.0,224.0,123.0,914.0,436.0,3674.0,1518.0,O(n(log log n)^2/log^3 n),7.9675,1.0,1.0,1.61,1.231,4.03,2.725,10.627,6.325,29.435,15.314
130,Max-2SAT,N,1.0,,,24.0,,39.0,,54.0,,70.0,,86.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
131,Max-2SAT,N,2.0,,,25.0,,41.0,,58.0,,75.0,,92.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
132,Max-2SAT,N,3.0,,,100000.0,,31620000.0,,10000000000.0,,3162000000000.0,,1000000000000000.0,,0.5,2.0,2.0,,2.0,,2.0,,2.0,,2.0,
133,Max-2SAT,N,4.0,,,2154.0,,100000.0,,4641000.0,,215400000.0,,10000000000.0,,0.5,2.0,2.0,,2.0,,2.0,,2.0,,2.0,
134,Max-2SAT,N,5.0,,,2154.0,,100000.0,,4641000.0,,215400000.0,,10000000000.0,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
135,Max-2SAT,N,6.0,,,7.0,,19.0,,51.0,,144.0,,404.0,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
136,Max-2SAT,N,7.0,,,719.0,,19307.0,,517947.0,,13890000.0,,372700000.0,,0.878,1.139,1.139,,1.139,,1.139,,1.139,,1.139,
137,Max-2SAT,N,8.0,,,26.0,,138.0,,719.0,,3727.0,,19307.0,,0.93109,1.07401,1.07401,,1.07401,,1.07401,,1.07401,,1.07401,
138,Max-2SAT,N,9.0,,,26.0,,138.0,,719.0,,3727.0,,19307.0,,0.931090068,1.074,1.074,,1.074,,1.074,,1.074,,1.074,
139,Max-2SAT,N,10.0,,,26.0,,138.0,,719.0,,3727.0,,19307.0,,0.935,1.07,1.07,,1.07,,1.07,,1.07,,1.07,
140,Max-2SAT,N,11.0,,,26.0,,138.0,,719.0,,3727.0,,19307.0,,0.94,1.064,1.064,,1.064,,1.064,,1.064,,1.064,
141,Max-3SAT,N,1.0,,,28.0,,44.0,,60.0,,76.0,,93.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
142,Max-3SAT,N,2.0,,,10000000000.0,,1000000000000000.0,,1e+20,,1e+25,,1e+30,,0.5,2.0,2.0,,2.0,,2.0,,2.0,,2.0,
143,Max-3SAT,N,3.0,,,719.0,,19307.0,,517947.0,,13890000.0,,372700000.0,,0.7584,1.319,1.319,,1.319,,1.319,,1.319,,1.319,
144,Max-3SAT,N,4.0,,,17.0,,76.0,,335.0,,1479.0,,6548.0,,0.8,1.25,1.25,,1.25,,1.25,,1.25,,1.25,
145,Max-3SAT,N,5.0,,,26.0,,138.0,,719.0,,3727.0,,19307.0,,0.801,1.249,1.249,,1.249,,1.249,,1.249,,1.249,
146,Max-3SAT,N,6.0,,,719.0,,19307.0,,517947.0,,13890000.0,,372700000.0,,0.875,1.143,1.143,,1.143,,1.143,,1.143,,1.143,
147,Max-SAT,N,1.0,,,28.0,,44.0,,60.0,,76.0,,93.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
148,Max-SAT,N,2.0,,,10000000000.0,,1000000000000000.0,,1e+20,,1e+25,,1e+30,,0.5,2.0,2.0,,2.0,,2.0,,2.0,,2.0,
149,Max-SAT,N,3.0,,,316.0,,5623.0,,100000.0,,1778000.0,,31620000.0,,0.6666666666,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
150,Max-SAT,N,5.0,,,28.0,,164.0,,1022.0,,6568.0,,43147.0,,0.75,1.334,1.334,,1.334,,1.334,,1.334,,1.334,
151,Max-SAT,N,6.0,,,719.0,,19307.0,,517947.0,,13890000.0,,372700000.0,,0.7584,1.319,1.319,,1.319,,1.319,,1.319,,1.319,
152,Max-SAT,N,7.0,,,719.0,,19307.0,,517947.0,,13890000.0,,372700000.0,,0.76544,1.307,1.307,,1.307,,1.307,,1.307,,1.307,
153,Graph Coloring,Y,3.01,,,29.0,29.0,43.0,43.0,58.0,58.0,72.0,72.0,87.0,87.0,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
154,Graph Coloring,Y,3.02,,,29.0,29.0,44.0,44.0,59.0,59.0,74.0,74.0,88.0,88.0,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
155,Graph Coloring,Y,3.03,,,30.0,30.0,45.0,45.0,60.0,60.0,75.0,75.0,90.0,90.0,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
156,Graph Coloring,Y,3.04,,,30.0,30.0,46.0,46.0,61.0,61.0,77.0,77.0,92.0,92.0,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
157,Graph Coloring,Y,3.05,,,31.0,31.0,47.0,47.0,62.0,62.0,78.0,78.0,94.0,94.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
158,Graph Coloring,Y,3.06,,,32.0,32.0,48.0,48.0,64.0,64.0,80.0,80.0,96.0,96.0,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
159,Graph Coloring,Y,3.07,,,32.0,32.0,49.0,49.0,65.0,65.0,81.0,81.0,98.0,98.0,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
160,Graph Coloring,Y,3.08,,,33.0,33.0,50.0,50.0,66.0,66.0,83.0,83.0,100.0,100.0,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
161,Graph Coloring,Y,3.09,,,34.0,34.0,51.0,51.0,68.0,68.0,85.0,85.0,102.0,102.0,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
162,Graph Coloring,Y,3.1,,,34.0,34.0,52.0,52.0,69.0,69.0,86.0,86.0,104.0,104.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
163,Graph Coloring,Y,3.11,,,35.0,35.0,53.0,53.0,70.0,70.0,88.0,88.0,106.0,106.0,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
164,Graph Coloring,Y,3.12,,,36.0,36.0,54.0,54.0,72.0,72.0,90.0,90.0,108.0,108.0,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
165,Graph Coloring,Y,3.13,,,36.0,36.0,55.0,55.0,73.0,73.0,92.0,92.0,110.0,110.0,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
166,Graph Coloring,Y,3.14,,,37.0,37.0,56.0,56.0,75.0,75.0,94.0,94.0,112.0,112.0,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
167,Graph Coloring,Y,3.15,,,38.0,38.0,57.0,57.0,76.0,76.0,96.0,96.0,115.0,115.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
168,Graph Coloring,Y,3.16,,,39.0,39.0,58.0,58.0,78.0,78.0,97.0,97.0,117.0,117.0,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
169,Graph Coloring,Y,3.17,,,39.0,39.0,59.0,59.0,79.0,79.0,99.0,99.0,119.0,119.0,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
170,Graph Coloring,Y,3.18,,,40.0,40.0,61.0,61.0,81.0,81.0,101.0,101.0,122.0,122.0,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
171,Graph Coloring,Y,3.19,,,41.0,41.0,62.0,62.0,83.0,83.0,104.0,104.0,124.0,124.0,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
172,Graph Coloring,Y,3.2,,,42.0,42.0,63.0,63.0,84.0,84.0,106.0,106.0,127.0,127.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
173,Graph Coloring,Y,3.21,,,43.0,43.0,64.0,64.0,86.0,86.0,108.0,108.0,129.0,129.0,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
174,Graph Coloring,Y,3.22,,,44.0,44.0,66.0,66.0,88.0,88.0,110.0,110.0,132.0,132.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
175,Graph Coloring,Y,3.23,,,45.0,45.0,67.0,67.0,90.0,90.0,112.0,112.0,135.0,135.0,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
176,Graph Coloring,Y,3.24,,,45.0,45.0,68.0,68.0,91.0,91.0,114.0,114.0,137.0,137.0,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
177,Graph Coloring,Y,3.25,,,46.0,46.0,70.0,70.0,93.0,93.0,117.0,117.0,140.0,140.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
178,Graph Coloring,Y,3.26,,,47.0,47.0,71.0,71.0,95.0,95.0,119.0,119.0,143.0,143.0,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
179,Graph Coloring,Y,3.27,,,48.0,48.0,73.0,73.0,97.0,97.0,122.0,122.0,146.0,146.0,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
180,Graph Coloring,Y,3.28,,,49.0,49.0,74.0,74.0,99.0,99.0,124.0,124.0,149.0,149.0,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
181,Graph Coloring,Y,3.29,,,50.0,50.0,76.0,76.0,101.0,101.0,127.0,127.0,152.0,152.0,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
182,Graph Coloring,Y,3.3,,,51.0,51.0,77.0,77.0,103.0,103.0,129.0,129.0,155.0,155.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
183,Graph Coloring,Y,3.31,,,52.0,52.0,79.0,79.0,105.0,105.0,132.0,132.0,158.0,158.0,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
184,Graph Coloring,Y,3.32,,,53.0,53.0,80.0,80.0,107.0,107.0,134.0,134.0,161.0,161.0,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
185,Graph Coloring,Y,3.33,,,55.0,55.0,82.0,82.0,110.0,110.0,137.0,137.0,165.0,165.0,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66
186,Graph Coloring,Y,3.34,,,56.0,56.0,84.0,84.0,112.0,112.0,140.0,140.0,168.0,168.0,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
187,Graph Coloring,Y,3.35,,,57.0,57.0,85.0,85.0,114.0,114.0,143.0,143.0,171.0,171.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
188,Graph Coloring,Y,3.36,,,58.0,58.0,87.0,87.0,116.0,116.0,146.0,146.0,175.0,175.0,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
189,Graph Coloring,Y,3.37,,,59.0,59.0,89.0,89.0,119.0,119.0,149.0,149.0,178.0,178.0,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
190,Graph Coloring,Y,3.38,,,60.0,60.0,91.0,91.0,121.0,121.0,152.0,152.0,182.0,182.0,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
191,Graph Coloring,Y,3.39,,,62.0,62.0,93.0,93.0,124.0,124.0,155.0,155.0,186.0,186.0,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
192,Graph Coloring,Y,3.4,,,63.0,63.0,94.0,94.0,126.0,126.0,158.0,158.0,189.0,189.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
193,Graph Coloring,Y,3.41,,,64.0,64.0,96.0,96.0,129.0,129.0,161.0,161.0,193.0,193.0,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
194,Graph Coloring,Y,3.42,,,65.0,65.0,98.0,98.0,131.0,131.0,164.0,164.0,197.0,197.0,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
195,Graph Coloring,Y,3.43,,,67.0,67.0,100.0,100.0,134.0,134.0,168.0,168.0,201.0,201.0,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
196,Graph Coloring,Y,3.44,,,68.0,68.0,102.0,102.0,137.0,137.0,171.0,171.0,205.0,205.0,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
197,Graph Coloring,Y,3.45,,,69.0,69.0,104.0,104.0,139.0,139.0,174.0,174.0,209.0,209.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
198,Graph Coloring,Y,3.46,,,71.0,71.0,107.0,107.0,142.0,142.0,178.0,178.0,214.0,214.0,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
199,Graph Coloring,Y,3.47,,,72.0,72.0,109.0,109.0,145.0,145.0,182.0,182.0,218.0,218.0,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
200,Graph Coloring,Y,3.48,,,74.0,74.0,111.0,111.0,148.0,148.0,185.0,185.0,222.0,222.0,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96
201,Graph Coloring,Y,3.49,,,75.0,75.0,113.0,113.0,151.0,151.0,189.0,189.0,227.0,227.0,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
202,Graph Coloring,Y,3.5,,,77.0,77.0,116.0,116.0,154.0,154.0,193.0,193.0,232.0,232.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
203,Graph Coloring,Y,3.51,,,78.0,78.0,118.0,118.0,157.0,157.0,197.0,197.0,236.0,236.0,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
204,Graph Coloring,Y,3.52,,,80.0,80.0,120.0,120.0,161.0,161.0,201.0,201.0,241.0,241.0,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
205,Graph Coloring,Y,3.53,,,82.0,82.0,123.0,123.0,164.0,164.0,205.0,205.0,246.0,246.0,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
206,Graph Coloring,Y,3.54,,,83.0,83.0,125.0,125.0,167.0,167.0,209.0,209.0,251.0,251.0,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
207,Graph Coloring,Y,3.55,,,85.0,85.0,128.0,128.0,170.0,170.0,213.0,213.0,256.0,256.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
208,Graph Coloring,Y,3.56,,,87.0,87.0,130.0,130.0,174.0,174.0,218.0,218.0,261.0,261.0,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
209,Graph Coloring,Y,3.57,,,88.0,88.0,133.0,133.0,177.0,177.0,222.0,222.0,266.0,266.0,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
210,Graph Coloring,Y,3.58,,,90.0,90.0,136.0,136.0,181.0,181.0,226.0,226.0,272.0,272.0,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
211,Graph Coloring,Y,3.59,,,92.0,92.0,138.0,138.0,185.0,185.0,231.0,231.0,277.0,277.0,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
212,Graph Coloring,Y,3.6,,,94.0,94.0,141.0,141.0,188.0,188.0,236.0,236.0,283.0,283.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
213,Graph Coloring,Y,3.61,,,96.0,96.0,144.0,144.0,192.0,192.0,240.0,240.0,289.0,289.0,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
214,Graph Coloring,Y,3.62,,,98.0,98.0,147.0,147.0,196.0,196.0,245.0,245.0,294.0,294.0,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
215,Graph Coloring,Y,3.63,,,100.0,100.0,150.0,150.0,200.0,200.0,250.0,250.0,300.0,300.0,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26
216,Graph Coloring,Y,3.64,,,102.0,102.0,153.0,153.0,204.0,204.0,255.0,255.0,307.0,307.0,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
217,Graph Coloring,Y,3.65,,,104.0,104.0,156.0,156.0,208.0,208.0,261.0,261.0,313.0,313.0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
218,Graph Coloring,Y,3.66,,,106.0,106.0,159.0,159.0,213.0,213.0,266.0,266.0,319.0,319.0,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
