,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
22,Maximum Cardinality Matching Size,Y,9.0,,,9361000000.0,12589.0,999900000000000.0,89060000.0,9.999e+19,1603000000000.0,9.999e+24,4.613e+16,9.999e+29,1.747e+21,2 + eps,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001
23,Maximum Cardinality Matching Size,Y,10.0,,,1e+40,12589.0,1e+40,89060000.0,1e+40,1603000000000.0,1e+40,4.613e+16,1e+40,1.747e+21,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
24,Maximum Cardinality Matching Size,Y,11.0,,,2610.0,2610.0,13710000.0,13710000.0,215600000000.0,215600000000.0,5765000000000000.0,5765000000000000.0,2.086e+20,2.086e+20,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
25,Maximum Cardinality Matching Size,Y,12.0,,,10000000000.0,1360.0,1000000000000000.0,836242.0,1e+20,2185000000.0,1e+25,14140000000000.0,1e+30,1.64e+17,"(1/(1/2 + delta), 0)",1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
26,Maximum Cardinality Matching Size,Y,13.0,,,22026.0,290.0,54140000000000.0,47599.0,1e+40,38080000.0,1e+40,94210000000.0,1e+40,505300000000000.0,"(1/(1/2 + delta), eps n)",1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
27,Maximum Cardinality Matching Size,Y,14.0,,,164.0,164.0,15179.0,15179.0,6825000.0,6825000.0,10240000000.0,10240000000.0,36350000000000.0,36350000000000.0,"(1/(1/2 + delta), eps n)",1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
28,Maximum Clique,Y,1.0,,,126.0,126.0,189.0,189.0,253.0,253.0,316.0,316.0,379.0,379.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Maximum Clique,Y,2.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,~n/2,7.995,5000000000.0,50000.0,500000000000000.0,15810000.0,5e+19,5000000000.0,5e+24,1581000000000.0,5e+29,500000000000000.0
30,Maximum Clique,Y,3.0,,,4641000.0,10000.0,10000000000.0,1000000.0,21540000000000.0,100000000.0,4.641e+16,10000000000.0,1e+20,1000000000000.0,~n/2,7.995,2320500.0,5000.0,5000000000.0,500000.0,10770000000000.0,50000000.0,2.3205e+16,5000000000.0,5e+19,500000000000.0
31,Maximum Clique,Y,4.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,O(n/(log^2 n)),7.97,754.0,37.0,106026.0,754.0,18861170.0,19696.0,3816920479.0,585041.0,838274208941.0,18861170.0
32,Maximum Clique,Y,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,~n/5,7.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Maximum Clique,Y,6.0,,,8.0,8.0,11.0,11.0,15.0,15.0,17.0,17.0,20.0,20.0,~n/4,7.9925,2.0,2.0,2.75,2.75,3.75,3.75,4.25,4.25,5.0,5.0
34,Maximum Clique,Y,7.0,,,10.0,10.0,31.0,31.0,100.0,100.0,316.0,316.0,1000.0,1000.0,~n/6,7.9917,1.67,1.67,5.17,5.17,16.67,16.67,52.67,52.67,166.67,166.67
35,Maximum Clique,Y,8.0,,,100.0,46.0,1000.0,316.0,10000.0,2154.0,100000.0,14678.0,1000000.0,100000.0,O(n/log log n),7.99,65.0,34.0,517.0,181.0,4504.0,1057.0,40925.0,6491.0,380837.0,40925.0
36,Maximum Clique,Y,9.0,,,4641000.0,10000.0,10000000000.0,1000000.0,21540000000000.0,100000000.0,4.641e+16,10000000000.0,1e+20,1000000000000.0,~2n/5,7.994,1856400.0,4000.0,4000000000.0,400000.0,8616000000000.0,40000000.0,1.8564e+16,4000000000.0,4e+19,400000000000.0
37,Maximum Clique,Y,10.0,,,719.0,60.0,19307.0,469.0,517947.0,3651.0,13890000.0,28389.0,372700000.0,220690.0,O((n log log n)/log n),7.985,206.0,21.0,4479.0,139.0,101443.0,937.0,2364837.0,6444.0,56320753.0,45018.0
38,Maximum Clique,Y,11.0,,,11.0,8.0,53.0,34.0,224.0,123.0,914.0,436.0,3674.0,1518.0,O(n(log log n)^2/log^3 n),7.9675,1.0,0.477,1.61,1.231,4.03,2.725,10.627,6.325,29.435,15.314
39,Geometric TSP,N,1.0,,,12.0,,16.0,,20.0,,23.0,,27.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
40,Geometric TSP,N,2.0,,,24.0,,39.0,,54.0,,70.0,,86.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
42,Geometric TSP,N,4.0,,,10000000000.0,,1000000000000000.0,,1e+20,,1e+25,,1e+30,,n/2,7.995,5000000000.0,,500000000000000.0,,5e+19,,5e+24,,5e+29,
43,Geometric TSP,N,5.0,,,2154.0,,100000.0,,4641000.0,,215400000.0,,10000000000.0,,1.5,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
44,Geometric TSP,N,6.0,,,2879.0,,221748.0,,18440000.0,,1600000000.0,,142600000000.0,,1.5,1.5,1.5,,1.5,,1.5,,1.5,,1.5,
45,Geometric TSP,N,7.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
46,Geometric TSP,N,8.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
47,Geometric TSP,N,9.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
48,Geometric TSP,N,10.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
49,Geometric TSP,N,11.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1+eps,1.001,1.001,,1.001,,1.001,,1.001,,1.001,
50,Vertex Cover,Y,1.0,,,95.0,95.0,142.0,142.0,190.0,190.0,237.0,237.0,285.0,285.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
